:db2jcc4.jar,unknown,unknown,"",Not approved,Gradle,""
:db2jcc_license_cisuz.jar,unknown,unknown,"",Not approved,Gradle,""
antlr:antlr,2.7.7,BSD,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,Approved,Gradle,""
aopalliance:aopalliance,1.0,Public Domain,"",Not approved,Gradle,""
ch.qos.cal10n:cal10n-api,0.8.1,MIT,http://opensource.org/licenses/mit-license,Approved,Gradle,""
ch.qos.logback:logback-access,1.1.11,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",",Not approved,Gradle,""
ch.qos.logback:logback-classic,1.1.11,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",",Not approved,Gradle,""
ch.qos.logback:logback-core,1.1.11,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",",Not approved,Gradle,""
com.carrotsearch:hppc,0.7.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.core:jackson-annotations,2.8.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.core:jackson-core,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.core:jackson-databind,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-smile,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-guava,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-hibernate5,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-joda,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.jaxrs:jackson-jaxrs-base,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-afterburner,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-guice,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.jackson.module:jackson-module-jaxb-annotations,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.fasterxml.woodstox:woodstox-core,5.0.3,"The Apache License, Version 2.0","",Approved,Gradle,""
com.fasterxml:classmate,1.3.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.github.spullara.mustache.java:compiler,0.9.4,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.github.stephenc.jcip:jcip-annotations,1.0-1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.code.findbugs:annotations,3.0.1,GNU Lesser Public License,"",Not approved,Gradle,""
com.google.code.findbugs:jsr305,3.0.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.guava:guava,19.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.inject.extensions:guice-multibindings,4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.inject.extensions:guice-servlet,4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.google.inject:guice,4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.h2database:h2,1.4.196,MPL 2.0 or EPL 1.0,"",Not approved,Gradle,""
com.nimbusds:nimbus-jose-jwt,4.39,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.ning:compress-lzf,1.0.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.spatial4j:spatial4j,0.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.squarespace.jersey2-guice:0-jersey2-guice-spi,1.0.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.squarespace.jersey2-guice:jersey2-guice-impl,1.0.6,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.tdunning:t-digest,3.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
com.twitter:jsr166e,1.1.0,CC0 1.0 Universal,"",Not approved,Gradle,""
commons-beanutils:commons-beanutils,1.9.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
commons-cli:commons-cli,1.3.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
commons-codec:commons-codec,1.10,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
commons-collections:commons-collections,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
dom4j:dom4j,1.6.1,unknown,"",Not approved,Gradle,""
gov.ca.cwds.api:api-core,0.19.118,unknown,"",Not approved,Gradle,""
io.dropwizard.metrics:metrics-annotation,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-core,3.1.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-healthchecks,3.1.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-jersey2,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-jetty9,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-json,3.1.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-jvm,3.1.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-logback,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.metrics:metrics-servlets,3.1.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
io.dropwizard.modules:dropwizard-flyway,1.0.0-1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Approved,Gradle,""
